_Outcome,_Years,_ZIP,Age group,"Age-adjusted rate per 10,000",Note
ED visits,2017-2021,55455, All ages,0.1,Unstable rate due to small case count
ED visits,2017-2021,55386, All ages,5,Unstable rate due to small case count
ED visits,2017-2021,55054, All ages,5.4,Unstable rate due to small case count
ED visits,2017-2021,55424, All ages,6.4,
ED visits,2017-2021,55001, All ages,7,Unstable rate due to small case count
ED visits,2017-2021,55047, All ages,7.2,Unstable rate due to small case count
ED visits,2017-2021,55327, All ages,7.7,Unstable rate due to small case count
ED visits,2017-2021,55391, All ages,8.0,
ED visits,2017-2021,55317, All ages,8.4,
ED visits,2017-2021,55331, All ages,8.9,
ED visits,2017-2021,55315, All ages,9.1,
ED visits,2017-2021,55073, All ages,9.5,Unstable rate due to small case count
ED visits,2017-2021,55357, All ages,9.5,Unstable rate due to small case count
ED visits,2017-2021,55038, All ages,9.9,
ED visits,2017-2021,55387, All ages,9.9,
ED visits,2017-2021,55340, All ages,10,
ED visits,2017-2021,55347, All ages,10,
ED visits,2017-2021,55388, All ages,10,
ED visits,2017-2021,55042, All ages,10.1,
ED visits,2017-2021,55328, All ages,10.1,
ED visits,2017-2021,55346, All ages,10.4,
ED visits,2017-2021,55065, All ages,10.8,Unstable rate due to small case count
ED visits,2017-2021,55384, All ages,10.9,Unstable rate due to small case count
ED visits,2017-2021,55341, All ages,11,
ED visits,2017-2021,55374, All ages,11,
ED visits,2017-2021,55446, All ages,11,
ED visits,2017-2021,55120, All ages,11.1,
ED visits,2017-2021,55322, All ages,11.1,Unstable rate due to small case count
ED visits,2017-2021,55088, All ages,11.3,Unstable rate due to small case count
ED visits,2017-2021,55304, All ages,11.8,
ED visits,2017-2021,55439, All ages,12,
ED visits,2017-2021,55082, All ages,12.6,
ED visits,2017-2021,55436, All ages,12.6,
ED visits,2017-2021,55364, All ages,12.8,
ED visits,2017-2021,55410, All ages,13.5,
ED visits,2017-2021,55011, All ages,13.6,
ED visits,2017-2021,55447, All ages,13.6,
ED visits,2017-2021,55043, All ages,13.6,Unstable rate due to small case count
ED visits,2017-2021,55105, All ages,13.8,
ED visits,2017-2021,55123, All ages,13.8,
ED visits,2017-2021,55311, All ages,13.8,
ED visits,2017-2021,55020, All ages,13.9,
ED visits,2017-2021,55070, All ages,14,
ED visits,2017-2021,55115, All ages,14,
ED visits,2017-2021,55345, All ages,14,
ED visits,2017-2021,55360, All ages,14,
ED visits,2017-2021,55442, All ages,14,
ED visits,2017-2021,55044, All ages,14.4,
ED visits,2017-2021,55416, All ages,14.4,
ED visits,2017-2021,55449, All ages,14.4,
ED visits,2017-2021,55305, All ages,14.5,
ED visits,2017-2021,55127, All ages,14.6,
ED visits,2017-2021,55359, All ages,14.6,
ED visits,2017-2021,55126, All ages,14.9,
ED visits,2017-2021,55330, All ages,15.1,
ED visits,2017-2021,55356, All ages,15.1,
ED visits,2017-2021,55005, All ages,15.4,
ED visits,2017-2021,55318, All ages,15.4,
ED visits,2017-2021,55373, All ages,15.6,
ED visits,2017-2021,55397, All ages,15.8,Unstable rate due to small case count
ED visits,2017-2021,55129, All ages,15.9,
ED visits,2017-2021,55344, All ages,15.9,
ED visits,2017-2021,55363, All ages,16.3,
ED visits,2017-2021,55024, All ages,16.6,
ED visits,2017-2021,55125, All ages,16.6,
ED visits,2017-2021,55375, All ages,16.6,
ED visits,2017-2021,55367, All ages,16.8,Unstable rate due to small case count
ED visits,2017-2021,55003, All ages,18.1,
ED visits,2017-2021,55068, All ages,18.1,
ED visits,2017-2021,55040, All ages,18.6,
ED visits,2017-2021,55057, All ages,19,
ED visits,2017-2021,55438, All ages,19.1,
ED visits,2017-2021,55014, All ages,19.3,
ED visits,2017-2021,55077, All ages,19.5,
ED visits,2017-2021,55372, All ages,19.6,
ED visits,2017-2021,55016, All ages,20.1,
ED visits,2017-2021,56071, All ages,20.1,
ED visits,2017-2021,55110, All ages,20.3,
ED visits,2017-2021,55316, All ages,20.3,
ED visits,2017-2021,55378, All ages,20.3,
ED visits,2017-2021,56011, All ages,20.3,
ED visits,2017-2021,55013, All ages,20.6,
ED visits,2017-2021,55437, All ages,21,
ED visits,2017-2021,55116, All ages,21.5,
ED visits,2017-2021,55369, All ages,21.5,
ED visits,2017-2021,55338, All ages,21.8,Unstable rate due to small case count
ED visits,2017-2021,55124, All ages,22.6,
ED visits,2017-2021,55434, All ages,22.6,
ED visits,2017-2021,55112, All ages,23,
ED visits,2017-2021,55122, All ages,23,
ED visits,2017-2021,55448, All ages,24.5,
ED visits,2017-2021,55071, All ages,24.6,
ED visits,2017-2021,55108, All ages,24.6,
ED visits,2017-2021,55085, All ages,25,Unstable rate due to small case count
ED visits,2017-2021,55303, All ages,25.3,
ED visits,2017-2021,55395, All ages,25.6,
ED visits,2017-2021,55025, All ages,26.3,
ED visits,2017-2021,55431, All ages,26.5,
ED visits,2017-2021,55113, All ages,26.8,
ED visits,2017-2021,55435, All ages,26.8,
ED visits,2017-2021,55441, All ages,27.6,
ED visits,2017-2021,55426, All ages,28.5,
ED visits,2017-2021,55092, All ages,28.6,
ED visits,2017-2021,Minnesota Statewide, All ages,29,
ED visits,2017-2021,55417, All ages,29.1,
ED visits,2017-2021,55425, All ages,29.5,
ED visits,2017-2021,55128, All ages,30.1,
ED visits,2017-2021,55368, All ages,30.5,
ED visits,2017-2021,55343, All ages,31.1,
ED visits,2017-2021,55445, All ages,31.1,
ED visits,2017-2021,55306, All ages,31.3,
ED visits,2017-2021,55423, All ages,31.5,
ED visits,2017-2021,55033, All ages,31.6,
ED visits,2017-2021,55079, All ages,31.6,
ED visits,2017-2021,Metro (All ZIP Codes), All ages,32,
ED visits,2017-2021,55420, All ages,32.3,
ED visits,2017-2021,55427, All ages,32.3,
ED visits,2017-2021,55076, All ages,32.7,
ED visits,2017-2021,55379, All ages,32.7,
ED visits,2017-2021,55352, All ages,33.8,
ED visits,2017-2021,55433, All ages,34.3,
ED visits,2017-2021,55419, All ages,35.3,
ED visits,2017-2021,55337, All ages,35.7,
ED visits,2017-2021,55009, All ages,35.8,
ED visits,2017-2021,55055, All ages,36.1,
ED visits,2017-2021,55418, All ages,36.5,
ED visits,2017-2021,55444, All ages,36.7,
ED visits,2017-2021,55118, All ages,37.3,
ED visits,2017-2021,55443, All ages,37.5,
ED visits,2017-2021,55121, All ages,37.8,
ED visits,2017-2021,55422, All ages,39,
ED visits,2017-2021,55075, All ages,40.7,
ED visits,2017-2021,55406, All ages,41.2,
ED visits,2017-2021,55413, All ages,41.6,
ED visits,2017-2021,55432, All ages,45.6,
ED visits,2017-2021,55119, All ages,46,
ED visits,2017-2021,55409, All ages,46.2,
ED visits,2017-2021,55421, All ages,47.6,
ED visits,2017-2021,55109, All ages,48.6,
ED visits,2017-2021,55339, All ages,49.6,Unstable rate due to small case count
ED visits,2017-2021,55401, All ages,50.6,Unstable rate due to small case count
ED visits,2017-2021,55428, All ages,50.8,
ED visits,2017-2021,55031, All ages,53.7,
ED visits,2017-2021,55405, All ages,56.3,
ED visits,2017-2021,55117, All ages,57.7,
ED visits,2017-2021,55429, All ages,57.7,
ED visits,2017-2021,55104, All ages,60.2,
ED visits,2017-2021,55106, All ages,61.8,
ED visits,2017-2021,55430, All ages,65.2,
ED visits,2017-2021,55407, All ages,66.7,
ED visits,2017-2021,55414, All ages,69.5,
ED visits,2017-2021,55408, All ages,74.2,
ED visits,2017-2021,55089, All ages,75.7,
ED visits,2017-2021,55102, All ages,77.2,
ED visits,2017-2021,55130, All ages,77.5,
ED visits,2017-2021,55107, All ages,83.2,
ED visits,2017-2021,55403, All ages,92.9,
ED visits,2017-2021,55103, All ages,95,
ED visits,2017-2021,55412, All ages,110.8,
ED visits,2017-2021,55404, All ages,125,
ED visits,2017-2021,55454, All ages,128.8,
ED visits,2017-2021,55114, All ages,137.6,Unstable rate due to small case count
ED visits,2017-2021,55415, All ages,142.5,
ED visits,2017-2021,55411, All ages,157.5,
ED visits,2017-2021,55402, All ages,201.5,Unstable rate due to small case count
ED visits,2017-2021,55101, All ages,241.4,Unstable rate due to small case count
ED visits,2017-2021,55090, All ages,*,*Data suppressed due to small population
ED visits,2017-2021,55111, All ages,*,*Data suppressed due to small population
ED visits,2017-2021,55150, All ages,*,*Data suppressed due to small population
ED visits,2017-2021,55450, All ages,*,*Data suppressed due to small population
ED visits,2017-2021,55088,0-17,0,Unstable rate due to small case count
ED visits,2017-2021,55090,0-17,0,Unstable rate due to small case count
ED visits,2017-2021,55384,0-17,0,Unstable rate due to small case count
ED visits,2017-2021,55402,0-17,0,Unstable rate due to small case count
ED visits,2017-2021,55386,0-17,7.0,Unstable rate due to small case count
ED visits,2017-2021,55317,0-17,9,
ED visits,2017-2021,55375,0-17,10.1,Unstable rate due to small case count
