statecounty,county,Year,Pollutant,Unit,Average concentration
27001,"Aitkin County, Minnesota",2008,Ozone,parts per billion,36
27001,"Aitkin County, Minnesota",2008,PM2.5,micrograms per cubic meter,8
27001,"Aitkin County, Minnesota",2009,Ozone,parts per billion,34
27001,"Aitkin County, Minnesota",2009,PM2.5,micrograms per cubic meter,8
27001,"Aitkin County, Minnesota",2010,Ozone,parts per billion,36
27001,"Aitkin County, Minnesota",2010,PM2.5,micrograms per cubic meter,7.4
27001,"Aitkin County, Minnesota",2011,Ozone,parts per billion,36
27001,"Aitkin County, Minnesota",2011,PM2.5,micrograms per cubic meter,7.9
27001,"Aitkin County, Minnesota",2012,Ozone,parts per billion,35
27001,"Aitkin County, Minnesota",2012,PM2.5,micrograms per cubic meter,8.2
27001,"Aitkin County, Minnesota",2013,Ozone,parts per billion,35
27001,"Aitkin County, Minnesota",2013,PM2.5,micrograms per cubic meter,7.8
27001,"Aitkin County, Minnesota",2014,Ozone,parts per billion,33
27001,"Aitkin County, Minnesota",2014,PM2.5,micrograms per cubic meter,5.7
27001,"Aitkin County, Minnesota",2015,Ozone,parts per billion,35
27001,"Aitkin County, Minnesota",2015,PM2.5,micrograms per cubic meter,6.4
27001,"Aitkin County, Minnesota",2016,Ozone,parts per billion,32
27001,"Aitkin County, Minnesota",2016,PM2.5,micrograms per cubic meter,5.5
27001,"Aitkin County, Minnesota",2017,Ozone,parts per billion,34
27001,"Aitkin County, Minnesota",2017,PM2.5,micrograms per cubic meter,5.5
27001,"Aitkin County, Minnesota",2018,Ozone,parts per billion,34
27001,"Aitkin County, Minnesota",2018,PM2.5,micrograms per cubic meter,5.8
27001,"Aitkin County, Minnesota",2019,Ozone,parts per billion,34
27001,"Aitkin County, Minnesota",2019,PM2.5,micrograms per cubic meter,4.6
27001,"Aitkin County, Minnesota",2020,Ozone,parts per billion,34
27001,"Aitkin County, Minnesota",2020,PM2.5,micrograms per cubic meter,4.4
27001,"Aitkin County, Minnesota",2021,Ozone,parts per billion,36
27001,"Aitkin County, Minnesota",2021,PM2.5,micrograms per cubic meter,7
27003,"Anoka County, Minnesota",2008,Ozone,parts per billion,36
27003,"Anoka County, Minnesota",2008,PM2.5,micrograms per cubic meter,11.4
27003,"Anoka County, Minnesota",2009,Ozone,parts per billion,35
27003,"Anoka County, Minnesota",2009,PM2.5,micrograms per cubic meter,10.9
27003,"Anoka County, Minnesota",2010,Ozone,parts per billion,37
27003,"Anoka County, Minnesota",2010,PM2.5,micrograms per cubic meter,10.6
27003,"Anoka County, Minnesota",2011,Ozone,parts per billion,37
27003,"Anoka County, Minnesota",2011,PM2.5,micrograms per cubic meter,11.1
27003,"Anoka County, Minnesota",2012,Ozone,parts per billion,36
27003,"Anoka County, Minnesota",2012,PM2.5,micrograms per cubic meter,11.1
27003,"Anoka County, Minnesota",2013,Ozone,parts per billion,36
27003,"Anoka County, Minnesota",2013,PM2.5,micrograms per cubic meter,10.3
27003,"Anoka County, Minnesota",2014,Ozone,parts per billion,34
27003,"Anoka County, Minnesota",2014,PM2.5,micrograms per cubic meter,7.8
27003,"Anoka County, Minnesota",2015,Ozone,parts per billion,35
27003,"Anoka County, Minnesota",2015,PM2.5,micrograms per cubic meter,7.9
27003,"Anoka County, Minnesota",2016,Ozone,parts per billion,33
27003,"Anoka County, Minnesota",2016,PM2.5,micrograms per cubic meter,7.5
27003,"Anoka County, Minnesota",2017,Ozone,parts per billion,35
27003,"Anoka County, Minnesota",2017,PM2.5,micrograms per cubic meter,7.9
27003,"Anoka County, Minnesota",2018,Ozone,parts per billion,36
27003,"Anoka County, Minnesota",2018,PM2.5,micrograms per cubic meter,8.2
27003,"Anoka County, Minnesota",2019,Ozone,parts per billion,35
27003,"Anoka County, Minnesota",2019,PM2.5,micrograms per cubic meter,7.6
27003,"Anoka County, Minnesota",2020,Ozone,parts per billion,34
27003,"Anoka County, Minnesota",2020,PM2.5,micrograms per cubic meter,7.5
27003,"Anoka County, Minnesota",2021,Ozone,parts per billion,37
27003,"Anoka County, Minnesota",2021,PM2.5,micrograms per cubic meter,8.6
27005,"Becker County, Minnesota",2008,Ozone,parts per billion,36
27005,"Becker County, Minnesota",2008,PM2.5,micrograms per cubic meter,8.4
27005,"Becker County, Minnesota",2009,Ozone,parts per billion,35
27005,"Becker County, Minnesota",2009,PM2.5,micrograms per cubic meter,8.4
27005,"Becker County, Minnesota",2010,Ozone,parts per billion,37
27005,"Becker County, Minnesota",2010,PM2.5,micrograms per cubic meter,8.1
27005,"Becker County, Minnesota",2011,Ozone,parts per billion,36
27005,"Becker County, Minnesota",2011,PM2.5,micrograms per cubic meter,8.1
27005,"Becker County, Minnesota",2012,Ozone,parts per billion,36
27005,"Becker County, Minnesota",2012,PM2.5,micrograms per cubic meter,8.5
27005,"Becker County, Minnesota",2013,Ozone,parts per billion,37
27005,"Becker County, Minnesota",2013,PM2.5,micrograms per cubic meter,7.9
27005,"Becker County, Minnesota",2014,Ozone,parts per billion,35
27005,"Becker County, Minnesota",2014,PM2.5,micrograms per cubic meter,6.6
27005,"Becker County, Minnesota",2015,Ozone,parts per billion,35
27005,"Becker County, Minnesota",2015,PM2.5,micrograms per cubic meter,6.7
27005,"Becker County, Minnesota",2016,Ozone,parts per billion,32
27005,"Becker County, Minnesota",2016,PM2.5,micrograms per cubic meter,5.1
27005,"Becker County, Minnesota",2017,Ozone,parts per billion,34
27005,"Becker County, Minnesota",2017,PM2.5,micrograms per cubic meter,6.2
27005,"Becker County, Minnesota",2018,Ozone,parts per billion,36
27005,"Becker County, Minnesota",2018,PM2.5,micrograms per cubic meter,6.5
27005,"Becker County, Minnesota",2019,Ozone,parts per billion,35
27005,"Becker County, Minnesota",2019,PM2.5,micrograms per cubic meter,5.8
27005,"Becker County, Minnesota",2020,Ozone,parts per billion,35
27005,"Becker County, Minnesota",2020,PM2.5,micrograms per cubic meter,5.2
27005,"Becker County, Minnesota",2021,Ozone,parts per billion,36
27005,"Becker County, Minnesota",2021,PM2.5,micrograms per cubic meter,11.1
27007,"Beltrami County, Minnesota",2008,Ozone,parts per billion,36
27007,"Beltrami County, Minnesota",2008,PM2.5,micrograms per cubic meter,7.8
27007,"Beltrami County, Minnesota",2009,Ozone,parts per billion,34
27007,"Beltrami County, Minnesota",2009,PM2.5,micrograms per cubic meter,7.9
27007,"Beltrami County, Minnesota",2010,Ozone,parts per billion,37
27007,"Beltrami County, Minnesota",2010,PM2.5,micrograms per cubic meter,7.5
27007,"Beltrami County, Minnesota",2011,Ozone,parts per billion,36
27007,"Beltrami County, Minnesota",2011,PM2.5,micrograms per cubic meter,8
27007,"Beltrami County, Minnesota",2012,Ozone,parts per billion,35
27007,"Beltrami County, Minnesota",2012,PM2.5,micrograms per cubic meter,8.4
27007,"Beltrami County, Minnesota",2013,Ozone,parts per billion,35
27007,"Beltrami County, Minnesota",2013,PM2.5,micrograms per cubic meter,7.7
27007,"Beltrami County, Minnesota",2014,Ozone,parts per billion,33
27007,"Beltrami County, Minnesota",2014,PM2.5,micrograms per cubic meter,6.4
27007,"Beltrami County, Minnesota",2015,Ozone,parts per billion,34
27007,"Beltrami County, Minnesota",2015,PM2.5,micrograms per cubic meter,6.5
27007,"Beltrami County, Minnesota",2016,Ozone,parts per billion,31
27007,"Beltrami County, Minnesota",2016,PM2.5,micrograms per cubic meter,5.7
27007,"Beltrami County, Minnesota",2017,Ozone,parts per billion,34
27007,"Beltrami County, Minnesota",2017,PM2.5,micrograms per cubic meter,6.7
27007,"Beltrami County, Minnesota",2018,Ozone,parts per billion,36
27007,"Beltrami County, Minnesota",2018,PM2.5,micrograms per cubic meter,7.4
27007,"Beltrami County, Minnesota",2019,Ozone,parts per billion,35
27007,"Beltrami County, Minnesota",2019,PM2.5,micrograms per cubic meter,5.5
27007,"Beltrami County, Minnesota",2020,Ozone,parts per billion,34
27007,"Beltrami County, Minnesota",2020,PM2.5,micrograms per cubic meter,5.4
27007,"Beltrami County, Minnesota",2021,Ozone,parts per billion,36
27007,"Beltrami County, Minnesota",2021,PM2.5,micrograms per cubic meter,10.8
27009,"Benton County, Minnesota",2008,Ozone,parts per billion,35
