plant_code,plant_name.x,zip,longitude,latitude,eia_model_estimates_of_n_ox_emissions_tons
1912,High Bridge,55101,-93.1117,44.9314,12341.51408
1927,Riverside (MN),55401,-93.2753,45.0203,7739.331352000001
1904,Black Dog,55101,-93.2501,44.8108,2497.289642
10013,Covanta Hennepin Energy,55405,-93.280382,44.9833,1711.3604711000003
59197,Univ Minnesota CHP Plant,55414,-93.240833,44.978611,1270.383196
57966,Southeast Steam Plant,55414,-93.249722,44.980833,147.129027
6824,St Bonifacius,55375,-93.820761,44.905026,33.767160000000004
54294,West Group Data Center,55123,-93.1139,44.8256,20.689956
55133,Thomson Reuters Campus Bldg A-D,55123,-93.1156,44.8196,16.7197212
55824,MNDOT Standby Generation,55101,-93.105692,44.953014,1.7894016000000001
57207,Thomson Reuters Data Center Bldg ES101,55123,-93.1139,44.8244,1.3234116
