"_Outcome","_Years","_ZIP","Age group","Age-adjusted rate per 10,000","Note","ZCTA5CE20","CLASSFP20","MTFCC20","FUNCSTAT20","ALAND20","AWATER20","INTPTLAT20","INTPTLON20","value_cat","X","NAME","total_popE","total_popM","whiteE","whiteM","blackE","blackM","asianE","asianM","hispanicE","hispanicM","povertyE","povertyM","median_incomeE","median_incomeM","num_plants","near_plant"
"ED visits","2017-2021",55455,"All ages",0.1,"Unstable rate due to small case count","55455","B5","G6350","S",1393824,263179,"+44.9754866","-093.2353365","0-15",19041,"ZCTA5 55455",5749,598,4309,480,86,66,852,198,283,132,0,13,NA,NA,2,TRUE
"ED visits","2017-2021",55386,"All ages",5,"Unstable rate due to small case count","55386","B5","G6350","S",16564847,2793563,"+44.8566443","-093.6641385","0-15",18981,"ZCTA5 55386",9391,286,8416,500,264,332,445,256,167,134,163,123,165591,10669,NA,FALSE
"ED visits","2017-2021",55054,"All ages",5.4,"Unstable rate due to small case count","55054","B5","G6350","S",2651828,0,"+44.5715021","-093.3509209","0-15",18845,"ZCTA5 55054",2442,349,2034,426,154,174,50,68,16,26,0,9,140579,20324,NA,FALSE
"ED visits","2017-2021",55424,"All ages",6.4,NA,"55424","B5","G6350","S",6245027,185065,"+44.9050241","-093.3448654","0-15",19014,"ZCTA5 55424",10712,840,9627,628,9,11,384,264,182,99,193,98,206038,28837,NA,FALSE
"ED visits","2017-2021",55001,"All ages",7,"Unstable rate due to small case count","55001","B5","G6350","S",69969309,2562993,"+44.8987758","-092.8191076","0-15",18804,"ZCTA5 55001",2960,27,2795,85,23,23,33,31,22,27,179,88,114867,17812,NA,FALSE
"ED visits","2017-2021",55047,"All ages",7.2,"Unstable rate due to small case count","55047","B5","G6350","S",75722805,15185623,"+45.2004287","-092.8207289","0-15",18840,"ZCTA5 55047",2293,391,2114,345,0,9,27,51,3,7,107,71,98864,23460,NA,FALSE
"ED visits","2017-2021",55327,"All ages",7.7,"Unstable rate due to small case count","55327","B5","G6350","S",45505114,4074862,"+45.2043151","-093.4687615","0-15",18929,"ZCTA5 55327",4706,410,4092,463,113,141,315,358,43,59,136,88,119986,29255,NA,FALSE
"ED visits","2017-2021",55391,"All ages",8,NA,"55391","B5","G6350","S",42787014,26587997,"+44.9642426","-093.5434357","0-15",18986,"ZCTA5 55391",15621,800,14436,782,106,93,632,530,250,160,704,242,131068,13033,1,TRUE
"ED visits","2017-2021",55317,"All ages",8.4,NA,"55317","B5","G6350","S",34053433,3172842,"+44.8567105","-093.5505668","0-15",18921,"ZCTA5 55317",21773,362,18775,607,321,249,1480,349,704,240,768,288,118598,7405,NA,FALSE
"ED visits","2017-2021",55331,"All ages",8.9,NA,"55331","B5","G6350","S",42260644,25167871,"+44.9012538","-093.6099531","0-15",18933,"ZCTA5 55331",19317,784,18139,797,93,98,304,157,555,247,766,272,144697,10148,1,TRUE
"ED visits","2017-2021",55315,"All ages",9.1,NA,"55315","B5","G6350","S",71076871,2326249,"+44.7144427","-093.6918586","0-15",18919,"ZCTA5 55315",6644,175,6039,292,53,48,202,138,174,109,97,76,116319,8582,NA,FALSE
"ED visits","2017-2021",55073,"All ages",9.5,"Unstable rate due to small case count","55073","B5","G6350","S",72558450,3798820,"+45.2762622","-092.8303530","0-15",18858,"ZCTA5 55073",3824,564,3733,564,0,9,0,9,65,46,42,36,119188,23012,NA,FALSE
