year,sex,age,ci,aci,ageAdjust,count,population,rate,
"2000","Both","0-24 years","(0.3 - 0.5)"," ","","62","1757334","0.4",,
"2000","Both","25-44 years","(0.8 - 1.1)"," ","","147","1497335","1",,
"2000","Both","45-54 years","(4.9 - 6.0)"," ","","364","665706","5.5",,
"2000","Both","55-64 years","(21.9 - 24.8)"," ","","945","404910","23.3",,
"2000","Both","65-74 years","(54.8 - 60.3)"," ","","1703","295870","57.6",,
"2000","Both","75+ years","(71.8 - 78.0)"," ","","2235","298476","74.9",,
"2001","Both","0-24 years","(0.3 - 0.5)"," ","","74","1775588","0.4",,
"2001","Both","25-44 years","(0.6 - 0.9)"," ","","115","1485995","0.8",,
"2001","Both","45-54 years","(5.5 - 6.7)"," ","","429","700944","6.1",,
"2001","Both","55-64 years","(22.1 - 25.0)"," ","","988","420103","23.5",,
"2001","Both","65-74 years","(59.9 - 65.6)"," ","","1857","295947","62.7",,
"2001","Both","75+ years","(78.9 - 85.3)"," ","","2497","304219","82.1",,
"2002","Both","0-24 years","(0.3 - 0.5)"," ","","72","1782792","0.4",,
"2002","Both","25-44 years","(0.7 - 1.0)"," ","","126","1470522","0.9",,
"2002","Both","45-54 years","(4.4 - 5.4)"," ","","351","714029","4.9",,
"2002","Both","55-64 years","(22.3 - 25.2)"," ","","1064","447474","23.8",,
"2002","Both","65-74 years","(55.1 - 60.6)"," ","","1713","296155","57.8",,
"2002","Both","75+ years","(83.0 - 89.6)"," ","","2657","307963","86.3",,
"2003","Both","0-24 years","(0.3 - 0.5)"," ","","63","1788386","0.4",,
"2003","Both","25-44 years","(0.7 - 1.0)"," ","","118","1453053","0.8",,
"2003","Both","45-54 years","(4.6 - 5.6)"," ","","375","732940","5.1",,
"2003","Both","55-64 years","(21.5 - 24.2)"," ","","1072","468583","22.9",,
"2003","Both","65-74 years","(55.4 - 60.9)"," ","","1735","298279","58.2",,
"2003","Both","75+ years","(75.1 - 81.3)"," ","","2442","312331","78.2",,
"2004","Both","0-24 years","(0.2 - 0.4)"," ","","49","1793085","0.3",,
"2004","Both","25-44 years","(0.6 - 0.9)"," ","","108","1437387","0.8",,
"2004","Both","45-54 years","(4.7 - 5.7)"," ","","390","750805","5.2",,
"2004","Both","55-64 years","(20.1 - 22.7)"," ","","1051","490677","21.4",,
"2004","Both","65-74 years","(52.5 - 57.8)"," ","","1664","301967","55.1",,
"2004","Both","75+ years","(74.5 - 80.7)"," ","","2435","313792","77.6",,
"2005","Both","0-24 years","(0.3 - 0.5)"," ","","74","1792015","0.4",,
"2005","Both","25-44 years","(0.8 - 1.1)"," ","","131","1423783","0.9",,
"2005","Both","45-54 years","(6.3 - 7.5)"," ","","529","768868","6.9",,
"2005","Both","55-64 years","(22.6 - 25.2)"," ","","1228","513555","23.9",,
"2005","Both","65-74 years","(57.0 - 62.5)"," ","","1820","304524","59.8",,
"2005","Both","75+ years","(90.5 - 97.3)"," ","","2976","316853","93.9",,
"2006","Both","0-24 years","(0.3 - 0.4)"," ","","63","1797007","0.4",,
"2006","Both","25-44 years","(0.6 - 0.9)"," ","","101","1412259","0.7",,
"2006","Both","45-54 years","(5.8 - 6.9)"," ","","497","785143","6.3",,
"2006","Both","55-64 years","(17.4 - 19.8)"," ","","1000","537598","18.6",,
"2006","Both","65-74 years","(53.2 - 58.5)"," ","","1738","311111","55.9",,
"2006","Both","75+ years","(79.2 - 85.5)"," ","","2640","320437","82.4",,
"2007","Both","0-24 years","(0.2 - 0.4)"," ","","57","1794406","0.3",,
"2007","Both","25-44 years","(0.8 - 1.1)"," ","","132","1410764","0.9",,
"2007","Both","45-54 years","(6.7 - 7.9)"," ","","579","795390","7.3",,
"2007","Both","55-64 years","(20.6 - 23.0)"," ","","1227","562805","21.8",,
"2007","Both","65-74 years","(49.2 - 54.2)"," ","","1657","320659","51.7",,
"2007","Both","75+ years","(81.7 - 88.0)"," ","","2742","323179","84.8",,
"2008","Both","0-24 years","(0.3 - 0.4)"," ","","62","1793980","0.3",,
"2008","Both","25-44 years","(0.9 - 1.2)"," ","","144","1404365","1",,
"2008","Both","45-54 years","(7.6 - 8.9)"," ","","663","805042","8.2",,
"2008","Both","55-64 years","(20.6 - 23.0)"," ","","1272","584016","21.8",,
"2008","Both","65-74 years","(62.6 - 68.1)"," ","","2181","333691","65.4",,
"2008","Both","75+ years","(100.9 - 107.9)"," ","","3403","325924","104.4",,
"2009","Both","0-24 years","(0.2 - 0.4)"," ","","51","1789404","0.3",,
"2009","Both","25-44 years","(0.6 - 0.9)"," ","","107","1398485","0.8",,
"2009","Both","45-54 years","(6.9 - 8.1)"," ","","605","808615","7.5",,
"2009","Both","55-64 years","(19.8 - 22.1)"," ","","1276","609816","20.9",,
"2009","Both","65-74 years","(56.7 - 61.8)"," ","","2059","347649","59.2",,
"2009","Both","75+ years","(89.5 - 96.1)"," ","","3038","327234","92.8",,
"2010","Both","0-24 years","(0.3 - 0.5)"," ","","64","1786862","0.4",,
"2010","Both","25-44 years","(0.6 - 0.9)"," ","","105","1396680","0.8",,
"2010","Both","45-54 years","(7.0 - 8.2)"," ","","612","807898","7.6",,
"2010","Both","55-64 years","(19.1 - 21.4)"," ","","1274","629364","20.2",,
"2010","Both","65-74 years","(51.9 - 56.7)"," ","","1925","354427","54.3",,
"2010","Both","75+ years","(82.7 - 89.1)"," ","","2823","328694","85.9",,
"2011","Both","0-24 years","(0.3 - 0.5)"," ","","64","1785452","0.4",,
"2011","Both","25-44 years","(0.7 - 1.0)"," ","","114","1399623","0.8",,
"2011","Both","45-54 years","(7.0 - 8.2)"," ","","608","799338","7.6",,
"2011","Both","55-64 years","(19.2 - 21.4)"," ","","1344","662860","20.3",,
"2011","Both","65-74 years","(53.8 - 58.7)"," ","","2068","367526","56.3",,
"2011","Both","75+ years","(84.9 - 91.2)"," ","","2935","333320","88.1",,
"2012","Both","0-24 years","(0.2 - 0.4)"," ","","53","1783036","0.3",,
"2012","Both","25-44 years","(0.6 - 0.8)"," ","","96","1403822","0.7",,
"2012","Both","45-54 years","(6.4 - 7.6)"," ","","549","786520","7",,
"2012","Both","55-64 years","(17.6 - 19.6)"," ","","1259","677110","18.6",,
"2012","Both","65-74 years","(45.0 - 49.3)"," ","","1848","392188","47.1",,
"2012","Both","75+ years","(81.4 - 87.6)"," ","","2853","337767","84.5",,
"2013","Both","0-24 years","(0.2 - 0.3)"," ","","45","1785916","0.3",,
"2013","Both","25-44 years","(0.4 - 0.6)"," ","","67","1412084","0.5",,
"2013","Both","45-54 years","(6.3 - 7.4)"," ","","528","771896","6.8",,
"2013","Both","55-64 years","(16.3 - 18.3)"," ","","1204","695136","17.3",,
"2013","Both","65-74 years","(43.3 - 47.4)"," ","","1874","412863","45.4",,
"2013","Both","75+ years","(76.0 - 81.9)"," ","","2705","342646","78.9",,
"2014","Both","0-24 years","(0.2 - 0.3)"," ","","38","1789963","0.2",,
"2014","Both","25-44 years","(0.5 - 0.7)"," ","","84","1417650","0.6",,
"2014","Both","45-54 years","(5.7 - 6.9)"," ","","478","758208","6.3",,
"2014","Both","55-64 years","(16.4 - 18.3)"," ","","1235","711721","17.4",,
"2014","Both","65-74 years","(39.1 - 42.9)"," ","","1770","431768","41",,
"2014","Both","75+ years","(62.0 - 67.4)"," ","","2251","347815","64.7",,
"2015","Both","0-24 years","(0.1 - 0.2)"," ","","29","1790685","0.2",,
"2015","Both","25-44 years","(0.4 - 0.6)"," ","","66","1420841","0.5",,
"2015","Both","45-54 years","(5.6 - 6.7)"," ","","457","744454","6.1",,
"2015","Both","55-64 years","(15.9 - 17.8)"," ","","1227","727971","16.9",,
"2015","Both","65-74 years","(35.5 - 39.1)"," ","","1685","451905","37.3",,
"2015","Both","75+ years","(61.1 - 66.4)"," ","","2254","353738","63.7",,
"2016","Both","0-24 years","(0.0 - 0.1)"," ","","11","1795875","0.1",,
"2016","Both","25-44 years","(0.5 - 0.7)"," ","","81","1425118","0.6",,
"2016","Both","45-54 years","(7.4 - 8.7)"," ","","582","727418","8",,
"2016","Both","55-64 years","(18.9 - 20.9)"," ","","1469","739313","19.9",,
"2016","Both","65-74 years","(36.5 - 40.0)"," ","","1806","472248","38.2",,
"2016","Both","75+ years","(63.4 - 68.7)"," ","","2377","359980","66",,
"2017","Both","0-24 years","(0.1 - 0.2)"," ","","17","1804045","0.1",,
"2017","Both","25-44 years","(0.4 - 0.7)"," ","","81","1451638","0.6",,
"2017","Both","45-54 years","(6.7 - 7.9)"," ","","521","711686","7.3",,
"2017","Both","55-64 years","(22.8 - 25.0)"," ","","1789","749028","23.9",,
"2017","Both","65-74 years","(44.7 - 48.5)"," ","","2298","493105","46.6",,
"2017","Both","75+ years","(85.0 - 91.0)"," ","","3231","367104","88",,
"2018","Both","0-24 years","(0.3 - 0.5)"," ","","65","1804251","0.4",,
"2018","Both","25-44 years","(0.4 - 0.6)"," ","","75","1471190","0.5",,
