OBJECTID,Shape,statefp,countyfp,tractce,geoid,name,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,geography,prp200x,status200x,totpov,pop200x,totpoc,poc,prppoc,statuspoc,prplep,statuslep,totlep,poplep,totlan,totengonly,nonenglan1,nonenglan2,nonenglan3,nonengpop1,nonengpop2,nonengpop3,totnoneng,prpnoneng,prpnoneng1,prpnoneng2,prpnoneng3,source,Shape_Length,Shape_Area
1,"(485580.2402410952, 4963415.116186599)",27,037,060716,27037060716,607.16,Census Tract 607.16,G5020,S,3782700.0,292715.0,+44.8242789,-093.1831132,"Census Tract 607.16, Dakota County, Minnesota",0.12982961535453796,NO,4167.0,541.0,4169.0,1517.0,0.36387622356414795,NO,0.09574468433856964,NO,3948.0,378.0,3948.0,2763.0,Other Asian and Pacific Island languages,Other and unspecified languages,Other Indo-European languages,190.0,76.0,38.0,378.0,0.09574468433856964,0.04812563210725784,0.019250253215432167,0.009625126607716084,2018-2022 ACS 5-year estimates,8921.383261632975,4072179.3628387717
2,"(489755.78627807274, 4965872.081197586)",27,037,060717,27037060717,607.17,Census Tract 607.17,G5020,S,11752835.0,552732.0,+44.8465754,-093.1305462,"Census Tract 607.17, Dakota County, Minnesota",0.18257443606853485,NO,2284.0,417.0,2284.0,771.0,0.33756566047668457,NO,0.06214689090847969,NO,2124.0,132.0,2124.0,1766.0,Other Asian and Pacific Island languages,Other and unspecified languages,Spanish,67.0,42.0,19.0,132.0,0.06214689090847969,0.03154425695538521,0.01977401040494442,0.008945385925471783,2018-2022 ACS 5-year estimates,15443.758616328205,12295754.404908672
3,"(475756.1895291681, 4958501.622590421)",27,037,060710,27037060710,607.10,Census Tract 607.10,G5020,S,10213320.0,361502.0,+44.7779970,-093.3059622,"Census Tract 607.10, Dakota County, Minnesota",0.4183095395565033,YES,4413.0,1846.0,4413.0,2186.0,0.49535462260246277,YES,0.11225961893796921,NO,4160.0,467.0,4160.0,3341.0,Spanish,Other and unspecified languages,"Russian, Polish, or other Slavic languages",312.0,100.0,35.0,467.0,0.11225961893796921,0.07500000298023224,0.024038461968302727,0.008413461968302727,2018-2022 ACS 5-year estimates,15641.330557259154,10566519.84478824
4,"(477797.97649070655, 4956186.92666502)",27,037,060711,27037060711,607.11,Census Tract 607.11,G5020,S,3573178.0,30615.0,+44.7582405,-093.2810093,"Census Tract 607.11, Dakota County, Minnesota",0.33236292004585266,NO,4122.0,1370.0,4337.0,1595.0,0.36776572465896606,NO,0.09964947402477264,NO,3994.0,398.0,3994.0,3314.0,Other and unspecified languages,Spanish,"Russian, Polish, or other Slavic languages",198.0,98.0,60.0,398.0,0.09964947402477264,0.0495743602514267,0.024536805227398872,0.01502253394573927,2018-2022 ACS 5-year estimates,11186.166984199182,3600955.8766847737
5,"(478962.4081166111, 4956405.722479074)",27,037,060713,27037060713,607.13,Census Tract 607.13,G5020,S,2839920.0,54332.0,+44.7607027,-093.2665016,"Census Tract 607.13, Dakota County, Minnesota",0.057421088218688965,NO,2978.0,171.0,2978.0,724.0,0.24311618506908417,NO,0.006221915129572153,NO,2893.0,18.0,2893.0,2644.0,Other Asian and Pacific Island languages,Other and unspecified languages,,16.0,2.0,0.0,18.0,0.006221915129572153,0.005530591122806072,0.000691323890350759,0.0,2018-2022 ACS 5-year estimates,7399.658195148822,2891967.1184327593
6,"(487038.3308025956, 4966523.290469575)",27,037,060726,27037060726,607.26,Census Tract 607.26,G5020,S,4772674.0,182884.0,+44.8528715,-093.1643978,"Census Tract 607.26, Dakota County, Minnesota",0.23849524557590485,NO,2738.0,653.0,2861.0,913.0,0.3191191852092743,NO,0.10040456056594849,NO,2719.0,273.0,2719.0,2215.0,Other and unspecified languages,Spanish,Arabic,154.0,39.0,36.0,273.0,0.10040456056594849,0.05663847178220749,0.014343508519232273,0.013240162283182144,2018-2022 ACS 5-year estimates,11106.383172561344,4951611.806748278
7,"(487579.77630358696, 4963655.547767223)",27,037,060727,27037060727,607.27,Census Tract 607.27,G5020,S,2291651.0,267500.0,+44.8225723,-093.1531042,"Census Tract 607.27, Dakota County, Minnesota",0.19165337085723877,NO,3762.0,721.0,3811.0,1686.0,0.44240355491638184,YES,0.11606648564338684,NO,3610.0,419.0,3610.0,2629.0,Other Asian and Pacific Island languages,Spanish,Other and unspecified languages,212.0,104.0,62.0,419.0,0.11606648564338684,0.058725763112306595,0.02880886383354664,0.01717451587319374,2018-2022 ACS 5-year estimates,6340.015854597187,2557115.526926138
8,"(459059.791330418, 4960489.673595637)",27,139,080400,27139080400,804,Census Tract 804,G5020,S,2326598.0,95039.0,+44.7969241,-093.5188957,"Census Tract 804, Scott County, Minnesota",0.40144991874694824,YES,4414.0,1772.0,4465.0,1607.0,0.35991042852401733,NO,0.13742123544216156,NO,4126.0,567.0,4126.0,3196.0,Other and unspecified languages,Spanish,Vietnamese,256.0,206.0,48.0,567.0,0.13742123544216156,0.062045563012361526,0.04992729052901268,0.01163354329764843,2018-2022 ACS 5-year estimates,8572.421472717473,2419797.3477725936
9,"(249137.2929678607, 5283188.246107981)",27,119,020800,27119020800,208,Census Tract 208,G5020,S,647738746.0,6033331.0,+47.6583908,-096.3648586,"Census Tract 208, Polk County, Minnesota",0.23597678542137146,NO,2068.0,488.0,2119.0,123.0,0.05804624781012535,NO,0.015841584652662277,NO,2020.0,32.0,2020.0,1912.0,Spanish,Other Asian and Pacific Island languages,German or other West Germanic languages; Other Indo-European languages,19.0,7.0,3.0,32.0,0.015841584652662277,0.009405940771102905,0.0034653465263545513,0.0014851485611870885,2018-2022 ACS 5-year estimates,128169.36208293842,654260966.9636537
10,"(488496.97839871456, 4959450.033122729)",27,037,060731,27037060731,607.31,Census Tract 607.31,G5020,S,8854610.0,1311293.0,+44.7827351,-093.1413627,"Census Tract 607.31, Dakota County, Minnesota",0.04389721527695656,NO,5604.0,246.0,5610.0,755.0,0.13458110392093658,NO,0.018958253785967827,NO,5222.0,99.0,5222.0,4826.0,Other Indo-European languages,Other Asian and Pacific Island languages,Vietnamese,42.0,24.0,17.0,99.0,0.018958253785967827,0.00804289523512125,0.004595940466970205,0.003255457617342472,2018-2022 ACS 5-year estimates,13825.00892568629,10157799.943826139
