Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
63560,"Sand Point Generating, LLC",1,Sand Point,AK,Aleutians East,5,Petroleum Liquids,IC,,S,X,X,,,0.7,0.800,0.4,0.3,0.3,N, , ,RE,X,12,2000,2,2023,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,10M,,,,,,,,N,,
195,Alabama Power Co,3,Barry,AL,Mobile,3,Conventional Steam Coal,ST,,S,X,X,,,272.0,0.850,249.0,249.0,130.0,N, , ,RE,X,7,1959,8,2015,N,Electric Utility,1,X,BIT,,,,,,NG,,,,,, ,OVER,,Y,,,Y,,,,,
195,Alabama Power Co,7,Gadsden,AL,Etowah,1,Natural Gas Steam Turbine,ST,,S,X,X,,,69.0,0.850,64.0,64.0,28.0,N, , ,RE,X,4,1949,1,2023,Y,Electric Utility,1,B,NG,,,,,,NG,,,,N,, ,OVER,,,,,,,,N,,
195,Alabama Power Co,7,Gadsden,AL,Etowah,2,Natural Gas Steam Turbine,ST,,S,X,X,,,69.0,0.850,66.0,66.0,28.0,N, , ,RE,X,7,1949,1,2023,Y,Electric Utility,1,B,NG,,,,,,NG,,,,N,, ,OVER,,,,,,,,N,,
195,Alabama Power Co,8,Gorgas,AL,Walker,10,Conventional Steam Coal,ST,,S,X,X,,,788.8,0.850,727.7,727.7,600.0,N, , ,RE,X,10,1972,4,2019,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,, ,OVER,,Y,,,,Y,,N,,
195,Alabama Power Co,8,Gorgas,AL,Walker,6,Conventional Steam Coal,ST,,S,X,X,,,125.0,0.850,103.0,103.0,50.0,N, , ,RE,X,4,1951,8,2015,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,, ,OVER,,Y,,,Y,,,,,
195,Alabama Power Co,8,Gorgas,AL,Walker,7,Conventional Steam Coal,ST,,S,X,X,,,125.0,0.850,104.0,104.0,50.0,N, , ,RE,X,7,1952,8,2015,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,, ,OVER,,Y,,,Y,,,,,
195,Alabama Power Co,8,Gorgas,AL,Walker,8,Conventional Steam Coal,ST,,S,X,X,,,187.5,0.850,163.0,163.0,90.0,N, , ,RE,X,5,1956,4,2019,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,, ,OVER,,Y,,,Y,,,N,,
195,Alabama Power Co,8,Gorgas,AL,Walker,9,Conventional Steam Coal,ST,,S,X,X,,,190.4,0.850,172.0,172.0,90.0,N, , ,RE,X,6,1958,4,2019,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,, ,OVER,,Y,,,Y,,,N,,
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,1,Conventional Steam Coal,ST,,S,X,X,,,200.0,0.900,178.0,182.0,56.0,N, , ,RE,X,1,1955,4,2016,N,Electric Utility,1,X,BIT,SUB,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,N,,N
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,2,Conventional Steam Coal,ST,,S,X,X,,,200.0,0.900,178.0,182.0,56.0,N, , ,RE,X,3,1955,4,2016,N,Electric Utility,1,X,BIT,SUB,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,N,,N
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,3,Conventional Steam Coal,ST,,S,X,X,,,200.0,0.900,178.0,182.0,56.0,N, , ,RE,X,7,1955,4,2016,N,Electric Utility,1,X,BIT,SUB,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,N,,N
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,4,Conventional Steam Coal,ST,,S,X,X,,,200.0,0.900,178.0,182.0,56.0,N, , ,RE,X,11,1955,4,2016,N,Electric Utility,1,X,BIT,SUB,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,N,,
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,5,Conventional Steam Coal,ST,,S,X,X,,,550.0,0.900,472.0,481.0,327.0,N, , ,RE,X,11,1965,4,2016,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,,N, ,OVER,,Y,,,Y,,,N,,
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,1,Conventional Steam Coal,ST,,S,X,X,,,140.6,0.900,111.0,113.0, ,N, , ,RE,X,7,1952,7,2014,N,Electric Utility,1,X,BIT,,,,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,,,,
