"","...1","...2","ORGID","ORGTYPE","ORGNUMBER","SCHNUMBER","FORMID","GISNAME","MDENAME","ALTNAME","GISADDR","MDEADDR","PUBPRIV","LOCTYPE","GRADERANGE","CLASS","MAGNET","LOCDISTID","LOCDISTNAM","COUNTYCODE","COUNTYNAME","CREATEDT","UPDATEDT","FED_SCHNUM","WEB_URL","YEAR","geometry","within_1mile_pp","schools_in_ej","nearest_pp_id","nearest_pp_dist_m","nearest_pp_dist_mi","zip_code"
"1",1,1,1.0011e+10,"01","0011","000","0011-01","Anoka-Hennepin District Office","Anoka-Hennepin Public School District","Anoka-Hennepin","2727 N Ferry St, Anoka, MN 55303","2727 N Ferry St, Anoka, MN 55303-1698","Public","Head",NA,NA,"NO",1.0011e+10,"Anoka-Hennepin",27003,"Anoka",2012-09-12,2022-10-24,2703180,"https://www.ahschools.us/","SY2024-25","c(469270.1391","5006242.8678)",FALSE,FALSE,62061,7740.98463518815,"4.81003680713096,""55303"""
"2",2,2,1.0015e+10,"01","0015","000","0015-01","St. Francis District Office","St. Francis Area Schools","St. Francis","4115 Ambassador Blvd NW, Saint Francis, MN 55070","4115 Ambassador Blvd, Saint Francis, MN 55070-9668","Public","Head",NA,NA,"NO",1.0015e+10,"St. Francis",27003,"Anoka",2022-09-19,2023-06-23,2733540,"https://www.isd15.org/","SY2024-25","c(470850.4368","5027425.886)",FALSE,FALSE,64818,2307.75427371674,"1.43397558857466,""55070"""
"3",3,3,10196306000,"01","0196","306","0196-01-306","Northview Elementary School Readiness","Northview Elementary School Readiness",NA,"965 Diffley Rd, Eagan, MN 55123","965 Diffley Road, Eagan, MN 55123","Public","Member",NA,85,"NO",1.0196e+10,"Rosemount-Apple Valley-Eagan",27037,"Dakota",2018-10-01,2024-07-15,2732390,NA,"SY2024-25","c(489132.2821","4961325.6394)",FALSE,FALSE,55133,2349.26491830927,"1.45976917140522,""55123"""
"4",4,4,10196307000,"01","0196","307","0196-01-307","Westview Elementary School SR","Westview Elementary School SR",NA,"225 Garden View Dr, Apple Valley, MN 55124","225 Garden View Drive, Apple Valley, MN 55124","Public","Member",NA,85,"NO",1.0196e+10,"Rosemount-Apple Valley-Eagan",27037,"Dakota",2018-10-01,2022-09-19,2732390,"https://ce.district196.org/early-childhood","SY2024-25","c(481197.1578","4953922.5004)",FALSE,FALSE,1904,8099.67818317723,"5.03291919866357,""55124"""
"5",5,5,10196308000,"01","0196","308","0196-01-308","Southview Elementary School Readiness","Southview Elementary School Readiness",NA,"1025 Whitney Dr, Apple Valley, MN 55124","1025 Whitney Drive, Apple Valley, MN 55124","Public","Member",NA,85,"NO",1.0196e+10,"Rosemount-Apple Valley-Eagan",27037,"Dakota",2018-10-01,2022-08-02,2732390,NA,"SY2024-25","c(481022.6032","4952517.0925)",FALSE,FALSE,1904,9480.09212320925,"5.89067078629081,""55124"""
"6",6,6,10196313000,"01","0196","313","0196-01-313","Thomas Lake Elementary School Readiness","Thomas Lake Elementary School Readiness",NA,"4350 Thomas Lake Rd, Eagan, MN 55122","4350 Thomas Lake Road, Eagan, MN 55122","Public","Member",NA,85,"NO",1.0196e+10,"Rosemount-Apple Valley-Eagan",27037,"Dakota",2018-10-01,2024-05-31,2732390,"https://www.district196.org/academics/early-childhood","SY2024-25","c(486249.8882","4960541.1596)",FALSE,FALSE,55133,5186.69459781807,"3.22287061641299,""55122"""
"7",7,7,10196317000,"01","0196","317","0196-01-317","Woodland Elementary School Readiness","Woodland Elementary School Readiness",NA,"945 Wescott Rd, Eagan, MN 55123","945 Wescott Road, Eagan, MN 55123","Public","Member",NA,85,"NO",1.0196e+10,"Rosemount-Apple Valley-Eagan",27037,"Dakota",2018-10-01,2022-09-19,2732390,"https://www.district196.org/academics/early-childhood","SY2024-25","c(489282.3151","4963024.5005)",TRUE,FALSE,55133,1581.74457390364,"0.982852954567487,""55123"""
"8",8,8,10196318000,"01","0196","318","0196-01-318","Pinewood Elementary School Readiness","Pinewood Elementary School Readiness",NA,"4300 Dodd Rd, Eagan, MN 55123","4300 Dodd Road, Eagan, MN 55123","Public","Member",NA,85,"NO",1.0196e+10,"Rosemount-Apple Valley-Eagan",27037,"Dakota",2018-10-01,2024-07-15,2732390,NA,"SY2024-25","c(490834.7512","4960743.8615)",FALSE,FALSE,55133,2173.3535073591,"1.35046261657518,""55123"""
"9",9,9,10196320000,"01","0196","320","0196-01-320","Oak Ridge Elementary School Readiness","Oak Ridge Elementary School Readiness",NA,"4350 Johnny Cake Ridge Rd, Eagan, MN 55122","4350 Johnny Cake Ridge Road , Eagan, MN 55122","Public","Member",NA,85,"NO",1.0196e+10,"Rosemount-Apple Valley-Eagan",27037,"Dakota",2018-10-01,2022-05-10,2732390,"https://www.district196.org/academics/early-childhood","SY2024-25","c(485353.9649","4960612.0652)",FALSE,FALSE,1904,5305.43138745836,"3.29665042033279,""55122"""
"10",10,10,10196321000,"01","0196","321","0196-01-321","Dakota Valley Learning Center SR","Dakota Valley Learning Center SR",NA,"4679 144th St W, Apple Valley, MN 55124","4679 144th Street West, Apple Valley, MN 55124","Public","Member",NA,85,"NO",1.0196e+10,"Rosemount-Apple Valley-Eagan",27037,"Dakota",2018-10-01,2022-03-14,2732390,"https://www.district196.org/academics/early-childhood","SY2024-25","c(487304.4518","4954246.8224)",FALSE,FALSE,62740,8257.86783712677,"5.13121393684788,""55124"""
